Title,Location,Organisation Chain,Bid Opening Place,Work Description,Tender Value in ₹,Product Category,Sub category,Pincode,Tender Reference Number,Tender ID,Tender Type,Tender Category,EMD Payable To,EMD Payable At,Awarded Value,Contract Date :,Contract Value :,
Revival of Debagaon RL LIP under G B Nagar Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Debagaon RL LIP under G B Nagar Block in Mayurbhanj District,"14,09,033",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 264 (OLIC/2022-23) DATED 01.02.2023,2023_OLIC_85959_9,Open Tender,Works,Nil,Nil,"1,303,215",03-Mar-2023,"INR 1,409,033",
Revival of Purunabaripada II TW LIP under G B Nagar Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Purunabaripada II TW LIP under G B Nagar Block in Mayurbhanj District,"15,23,123",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 264 (OLIC/2022-23) DATED 01.02.2023,2023_OLIC_85959_8,Open Tender,Works,Nil,Nil,"1,504,998",03-Mar-2023,"INR 1,523,123",
Revival of Purunabaripada I TW LIP under G B Nagar Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Purunabaripada I TW LIP under G B Nagar Block in Mayurbhanj District,"15,23,123",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 264 (OLIC/2022-23) DATED 01.02.2023,2023_OLIC_85959_7,Open Tender,Works,Nil,Nil,"1,504,998",03-Mar-2023,"INR 1,523,123",
Revival of Kulikhiri RL LIP under Badasahi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Kulikhiri RL LIP under Badasahi Block in Mayurbhanj District,"14,04,812",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 264 (OLIC/2022-23) DATED 01.02.2023,2023_OLIC_85959_6,Open Tender,Works,Nil,Nil,"1,299,310",03-Mar-2023,"INR 1,404,812",
Revival of Chakradharpur I TW LIP under Badasahi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Chakradharpur I TW LIP under Badasahi Block in Mayurbhanj District,"15,28,009",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 264 (OLIC/2022-23) DATED 01.02.2023,2023_OLIC_85959_5,Open Tender,Works,Nil,Nil,"1,421,201",03-Mar-2023,"INR 1,528,009",
Revival of Basketala I RL LIP under Bangriposi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Basketala I RL LIP under Bangriposi Block in Mayurbhanj District,"14,89,689",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 264 (OLIC/2022-23) DATED 01.02.2023,2023_OLIC_85959_4,Open Tender,Works,Nil,Nil,"1,377,813",03-Mar-2023,"INR 1,489,689",
Revival of Chandvil II RL LIP under Bangriposi Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Chandvil II RL LIP under Bangriposi Block in Mayurbhanj District,"15,67,174",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 264 (OLIC/2022-23) DATED 01.02.2023,2023_OLIC_85959_3,Open Tender,Works,Nil,Nil,"1,449,479",03-Mar-2023,"INR 1,567,174",
Revival of Ragdha TW LIP under Baripada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Ragdha TW LIP under Baripada Block in Mayurbhanj District,"15,28,656",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 264 (OLIC/2022-23) DATED 01.02.2023,2023_OLIC_85959_2,Open Tender,Works,Nil,Nil,"1,467,663",03-Mar-2023,"INR 1,528,656",
Revival of Darkholi_I TW LIP under Kuliana Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Darkholi_I TW LIP under Kuliana Block in Mayurbhanj District,"15,26,387",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 264 (OLIC/2022-23) DATED 01.02.2023,2023_OLIC_85959_10,Open Tender,Works,Nil,Nil,"1,526,387",03-Mar-2023,"INR 1,526,387",
Revival of Jamdapal I and Jamdapal II RL LIP under Baripada Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Jamdapal I and Jamdapal II RL LIP under Baripada Block in Mayurbhanj District,"29,24,884",Civil Works - Lift Irrigation Schemes,NA,757002,BID ID NO. 264 (OLIC/2022-23) DATED 01.02.2023,2023_OLIC_85959_1,Open Tender,Works,Nil,Nil,"2,705,225",03-Mar-2023,"INR 2,705,225",
