Location,Tender Value in ₹,Tender Count
Sundargarh,"2,467,096,415.00",164
"Balimela.Malkanagiri,Odisha","901,395,438.00",1
Bhanjanagar,"282,996,794.00",244
"Rajanagar Block,Kendrapara","244,498,368.00",1
Aska,"196,424,801.00",40
Jharsuguda,"193,208,294.00",13
Kalahandi,"166,173,371.00",2
Keonjhar,"158,169,513.00",5
"Gopalpur, Ganjam","156,768,778.00",2
Sheragada,"150,061,446.00",4
Sonepur,"147,220,848.00",12
Digapahandi,"144,270,447.00",5
Kabisuryanagar,"138,793,509.00",2
Angul,"131,250,992.00",19
Cuttack,"130,516,951.00",23
Hinjili,"122,705,546.00",3
"Ersama Block,Jagatsinghpur District","104,664,838.00",1
Ganjam,"82,459,585.00",3
Dharakota,"82,184,983.00",1
Polosara,"74,346,874.00",1
"Brahmagiri, Puri","73,235,940.00",2
Buguda,"69,742,187.00",1
Brahmagiri,"68,943,377.00",2
"Bhanjanagar, Ganjam","66,065,460.00",2
Kalahnadi,"65,262,973.00",1
"Gadaramal, Sagunbhadi, Dist. Nuapada","65,204,318.00",1
Boipariguda,"63,120,416.00",1
Khurda,"55,743,345.00",2
"Biripur, Kalampur, Dist. Kalahandi","54,476,301.00",1
Purusottampur,"54,070,782.00",1
Soroda,"53,206,273.00",1
Sambalpur,"53,094,929.00",4
Jaraka,"50,223,820.00",25
Chhatrapur,"49,554,566.00",1
Balangir,"47,361,483.00",3
Joranda,"45,630,000.00",1
Rourkela,"45,326,300.00",5
Phulbani,"42,672,208.00",1
Improvement To Dhania Nalla Drainage Channel And I,"42,554,447.00",1
Niali Block,"42,372,342.00",1
Sorada,"42,341,372.00",1
Narasinghpur Block,"41,338,309.00",1
"Sheragada, Aska Of Ganjama","40,459,515.00",1
"Panchayat Samiti Office, Sukinda, Jajpur","39,760,026.00",16
Jajpur,"36,783,650.00",4
Deulajhari,"34,750,000.00",1
Hinjilicut,"33,336,975.00",1
Panikoili,"32,963,817.00",1
Padampur Main Markt Yad,"32,712,117.00",1
Delanga,"32,066,851.00",1
Mayurbhanj,"31,254,584.00",2
