Original Index,Title,Location,Organisation Chain,Bid Opening Place,Work Description,Tender Value in ₹,Product Category,Sub category,Pincode,Tender Reference Number,Tender ID,Tender Type,Tender Category,EMD Payable To,EMD Payable At,Awarded Value,Contract Date :,Contract Value :,Unnamed: 18
232,Revival of Debagaon RL LIP under G B Nagar Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Debagaon RL LIP under G B Nagar Block in Mayurbhanj District,"21,71,002",Civil Works - Lift Irrigation Schemes,,757002,BID ID NO. 3764 (OLIC/2021-22) DATED 18.12.2021,2021_OLIC_75071_82,Open Tender,Works,Nil,Nil,"2,171,002",04-Nov-2022,"INR 2,171,002",
233,Revival of Purunabaripada II TW LIP under G B Nagar Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Purunabaripada II TW LIP under G B Nagar Block in Mayurbhanj District,"19,10,867",Civil Works - Lift Irrigation Schemes,,757002,BID ID NO. 3764 (OLIC/2021-22) DATED 18.12.2021,2021_OLIC_75071_81,Open Tender,Works,Nil,Nil,"1,910,867",04-Nov-2022,"INR 1,910,867",
234,Revival of Purunabaripada I TW LIP under G B Nagar Block in Mayurbhanj District,Baripada,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,EE MLI Division Baripada,Revival of Purunabaripada I TW LIP under G B Nagar Block in Mayurbhanj District,"19,52,578",Civil Works - Lift Irrigation Schemes,,757002,BID ID NO. 3764 (OLIC/2021-22) DATED 18.12.2021,2021_OLIC_75071_80,Open Tender,Works,Nil,Nil,"1,952,578",04-Nov-2022,"INR 1,952,578",
739,Revival of Kulikhiri RL LIP under Badasahi Block in Mayurbhanj District,Jaleswar,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,"Rural Works Division, Jaleswar",Revival of Kulikhiri RL LIP under Badasahi Block in Mayurbhanj District,"1,36,937",Civil Works - Roads,,756086,SE/RW/Jls- 04/2022-23,2022_CERWI_83508_22,Open Tender,Works,Nil,Nil,"116,410",15-Feb-2023,"INR 136,937",
777,Revival of Chakradharpur I TW LIP under Badasahi Block in Mayurbhanj District,"DANAGADI, JAJPUR",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||DANAGADI Block,"PANCHAYAT SAMITI, DANAGADI",Revival of Chakradharpur I TW LIP under Badasahi Block in Mayurbhanj District,"24,12,058",Civil Works - Others,,755026,01 DANAGADI/2022-23,2023_PRDNG_86394_1,Open Tender,Works,Nil,Nil,"2,050,490",10-Apr-2023,"INR 2,050,490",
778,Revival of Basketala I RL LIP under Bangriposi Block in Mayurbhanj District,"Danagadi, JAJPUR",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||DANAGADI Block,"PANCHAYAT SAMITI, DANAGADI",Revival of Basketala I RL LIP under Bangriposi Block in Mayurbhanj District,"11,64,556",Civil Works - Others,,755026,01 DANAGADI/2022-23,2023_PRDNG_86365_1,Open Tender,Works,Nil,Nil,"989,988",13-Apr-2023,"INR 989,988",
796,Revival of Chandvil II RL LIP under Bangriposi Block in Mayurbhanj District,Keonjhar District.,Odisha Tourism Devl. Corp.,"Superintending Engineer(I/C), O.T.D.C. Ltd., Bhuba",Revival of Chandvil II RL LIP under Bangriposi Block in Mayurbhanj District,"68,00,000",Civil Works - Others,,758001,BP -I/13/2022-23 Dt. 19.01.2023,2023_OTDC_85718_2,National Competitive Bid,Works,Nil,Nil,"6,821,221",11-Apr-2023,"INR 6,821,221",
797,Revival of Ragdha TW LIP under Baripada Block in Mayurbhanj District,Balasore District,Odisha Tourism Devl. Corp.,"Superintending Engineer(I/C), O.T.D.C. Ltd., Bhuba",Revival of Ragdha TW LIP under Baripada Block in Mayurbhanj District,"78,65,000",Civil Works - Others,,756126,BP -I/13/2022-23 Dt. 19.01.2023,2023_OTDC_85718_1,National Competitive Bid,Works,Nil,Nil,"7,889,569",11-Apr-2023,"INR 7,889,569",
944,Revival of Darkholi_I TW LIP under Kuliana Block in Mayurbhanj District,"Balimela.Malkanagiri,odisha",ODISHA CONSTRUCTION CORPORATION LTD||CIVIL,HEAD OFFICE OF OCC LTD.,Revival of Darkholi_I TW LIP under Kuliana Block in Mayurbhanj District,"90,13,95,438",Civil Works - Others,,764051,e-procurement Notice No.39/OCCL/2022-23 (on-line),2023_OCCL_85430_1,Open Tender,Works,Nil,Nil,"856,415,806",02-Mar-2023,"INR 901,395,438.22",
949,Revival of Jamdapal I and Jamdapal II RL LIP under Baripada Block in Mayurbhanj District,Kharriar,Orissa Bridge and Construction Corporation Ltd,"O/O THE EIC Cum MD, OB AND CC LTD, NAYAPALLI, BBSR",Revival of Jamdapal I and Jamdapal II RL LIP under Baripada Block in Mayurbhanj District,"15,89,999",Toll Gate,,766107,71/TOLL/OBCC/2022-23,2023_OBCC_85533_1,Open Tender,Works,Nil,Nil,"1,601,110",03-Apr-2023,"INR 1,601,110",
