Original Index,Title,Location,Organisation Chain,Bid Opening Place,Work Description,Tender Value in ₹,Product Category,Sub category,Pincode,Tender Reference Number,Tender ID,Tender Type,Tender Category,EMD Payable To,EMD Payable At,Awarded Value,Contract Date :,Contract Value :,Unnamed: 18
944,Revival of Darkholi_I TW LIP under Kuliana Block in Mayurbhanj District,"balimela.malkanagiri,odisha",ODISHA CONSTRUCTION CORPORATION LTD||CIVIL,HEAD OFFICE OF OCC LTD.,Revival of Darkholi_I TW LIP under Kuliana Block in Mayurbhanj District,901395438.0,Civil Works - Others,,764051,e-procurement Notice No.39/OCCL/2022-23 (on-line),2023_OCCL_85430_1,Open Tender,Works,Nil,Nil,"856,415,806.00",02-Mar-2023,"INR 901,395,438.22",
5472,Installation and Energisation of Sananachhana III TW LIP under Suliapada Block in Mayurbhanj district.,"gochara (janakdihi) in sambalpur, odisha","CE-BM,UM Basin,Burla","O/o CEBM, MB, Burla (Online)",Installation and Energisation of Sananachhana III TW LIP under Suliapada Block in Mayurbhanj district.,1.0,Civil Works - Bridges,Bridge cum Barrage (In-stream Storage Structure),768222,UMB-04/2021-22(ONLINE),2021_CEBBU_71376_1,National Competitive Bid,Works,Nil,Nil,"348,500,000.00",18-Jun-2022,"INR 348,500,000",
5793,Installation and Energisation of Bainchanuagaon III TW LIP under Rasgobindpur Block in Mayurbhanj district.,"rajanagar block,kendrapara","CE,Drainage,Cuttack","o/o-the Chief Engineer,Drainage,,Cuttack",Installation and Energisation of Bainchanuagaon III TW LIP under Rasgobindpur Block in Mayurbhanj district.,244498368.0,Civil Works - Others,,754225,CE-DR-CTC-01/2022-23,2022_CEDC_76817_1,National Competitive Bid,Works,Nil,Nil,"207,848,063.00",06-Feb-2023,"INR 207,848,063",
5724,Installation and Energisation of Chuhat II TW LIP under Suliapada Block in Mayurbhanj district.,"ersama block,jagatsinghpur district","CE,Drainage,Cuttack||SE,Drainage,Cuttack","O/o the CE,Drainage,Cuttack",Installation and Energisation of Chuhat II TW LIP under Suliapada Block in Mayurbhanj district.,104664838.0,Civil Works - Others,,754139,CE-DR-CTC-02/2021-22,2022_CEDC_75544_1,National Competitive Bid,Works,Nil,Nil,"88,975,579.00",21-Oct-2022,"INR 88,975,579",
6042,New Installation and Energisation including power supply work of Narendraposi-II LIP under Kusumi block in Mayurbhanj District,kalahandi,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,"O/o CCE, Balangir (R and B) Circle, Balangir",New Construction of Head works Distribution System and energization including Power supply work of Narendraposi-II LIP under Kusumi block in Mayurbhanj District,91999939.0,Civil Works - Bridges,,762110,CCE (R and B) BGR-05-2021-22,2021_EICCL_70888_1,National Competitive Bid,Works,Nil,Nil,"78,209,148.00",13-May-2022,"INR 78,209,148",
2474,Revival of DHOLPAS-I LIP under TH. RAMPUR Block in Kalahandi District,"gopalpur, ganjam",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR,"O/o the CCE, Southern Circle (RandB), Berhampur",Construction of Head works installation and Energisation of DHOLPAS-I LIP under TH. RAMPUR Block in Kalahandi District,86764614.0,Civil Works - Roads,,761002,"CCE, SC-(RandB)-BAM-15/2022-23",2022_EICCL_84769_10,National Competitive Bid,Works,Nil,Nil,"77,732,418.00",13-Apr-2023,"INR 77,732,418",
5771,Installation and Energisation of Nalagaja III TW LIP under Rasgobindpur Block in Mayurbhanj district.,aska,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional Chief Engineer,RBB,Berhampur",Installation and Energisation of Nalagaja III TW LIP under Rasgobindpur Block in Mayurbhanj district.,87040459.0,Civil Works - Others,,761110,"ACE,RBB-14/2021-22",2021_CEBMB_71965_1,National Competitive Bid,Works,Nil,Nil,"73,993,094.00",18-Oct-2022,"INR 73,993,094",
7027,"Construction of Foot Path in front of Neheru Park, Chandbali Near Old Bus Stand",polosara,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur","Construction of Foot Path in front of Neheru Park, Chandbali Near Old Bus Stand",74346874.0,Civil Works - Others,,761105,"ACE,RBB-35/2022-23",2022_CEBMB_84463_1,National Competitive Bid,Works,Nil,Nil,"70,518,009.71",05-Apr-2023,"INR 70,518,010",
6995,Construction of guard wall Sub Register office towards JMC Court in Ward No 09,dharakota,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur",Construction of guard wall Sub Register office towards JMC Court in Ward No 09,82184983.0,Civil Works - Others,,761107,"ACE,RBB-23/2022-23",2022_CEBMB_82074_1,National Competitive Bid,Works,Nil,Nil,"69,865,454.04",21-Apr-2023,"INR 69,865,454",
6212,"Repair and Restoration of Jyotipada Slum Road, Ward No-7,Kuchinda NAC",aska,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur","Repair and Restoration of Jyotipada Slum Road, Ward No-7,Kuchinda NAC",79827313.0,Civil Works - Others,,761110,"ACE,RBB-25/2022-23",2022_CEBMB_82319_1,National Competitive Bid,Works,Nil,Nil,"67,861,199.03",22-Mar-2023,"INR 67,861,199",
5421,Installation and Energisation of Dhansole I RL LIP under Suliapada Block in Mayurbhanj district.,keonjhar,CE RW I||RWCIRCLE-KEONJHAR,"O/O S.E., N.E.R.W. Circle, Keonjhar.",Installation and Energisation of Dhansole I RL LIP under Suliapada Block in Mayurbhanj district.,69800000.0,Civil Works - Roads,,758001,Road and Bridge Online NCB No.289,2021_CERWI_66688_5,Open Tender,Works,Nil,Nil,"67,370,158.95",09-Dec-2021,"INR 67,370,158.95",
5093,Installation and Energisation of Masinakati III TW LIP under Suliapada Block in Mayurbhanj district.,kalahandi,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,"O/o CCE, Balangir (R and B) Circle, Balangir",Installation and Energisation of Masinakati III TW LIP under Suliapada Block in Mayurbhanj district.,74173432.0,Civil Works - Roads,,762110,CCE (R and B) BGR-05-2021-22,2021_EICCL_70888_3,National Competitive Bid,Works,Nil,Nil,"63,054,834.00",25-Mar-2022,"INR 63,054,834",
6126,New Installation and Energisation including power supply work of Kucheikudar-I LIP under Thakurmunda block in Mayurbhanj District,"gopalpur, ganjam","CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar","O/o the Addl. Chief Engineer, Drainage Circle, Bhu",New Construction of Head works Distribution System and energisation including Power supply work of Kucheikudar-I LIP under Thakurmunda block in Mayurbhanj District,70004164.0,Civil Works - Others,,751012,SEDC-BBSR/DD-BAM-34/2021-22,2021_CEDC_74799_1,Open Tender,Works,Nil,Nil,"59,510,540.00",30-Jun-2022,"INR 59,510,540",
5758,Installation and Energisation of Raisole TW LIP under Rasgobindpur Block in Mayurbhanj district.,kabisuryanagar,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur",Installation and Energisation of Raisole TW LIP under Rasgobindpur Block in Mayurbhanj district.,69776105.0,Civil Works - Others,,761104,"ACE,RBB-29/2022-23",2022_CEBMB_83098_1,National Competitive Bid,Works,Nil,Nil,"59,316,666.90",11-Jan-2023,"INR 59,316,667",
7037,Construction Of Market Complex Room at 1st Floor of Existing Market complex Building in north direction ( Right Side ) On Biju Pattnaik Bus Stand in W.N 08,buguda,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o Additional CE, RB Basin, Berhampur",Construction Of Market Complex Room at 1st Floor of Existing Market complex Building in north direction ( Right Side ) On Biju Pattnaik Bus Stand in W.N 08,69742187.0,Civil Works - Others,,761118,"ACE,RBB-20/2022-23",2022_CEBMB_81568_1,National Competitive Bid,Works,Nil,Nil,"59,287,832.94",06-Dec-2022,"INR 59,287,833",
5761,Installation and Energisation of Madansahi TW LIP under Rasgobindpur Block in Mayurbhanj district.,kabisuryanagar,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o Additional CE, RB Basin, Berhampur",Installation and Energisation of Madansahi TW LIP under Rasgobindpur Block in Mayurbhanj district.,69017404.0,Civil Works - Others,,761104,"ACE,RBB-20/2022-23",2022_CEBMB_81568_2,National Competitive Bid,Works,Nil,Nil,"58,671,695.54",06-Dec-2022,"INR 58,671,696",
6093,New Installation and Energisation including power supply work of Gunduria LIP under Bisoi block in Mayurbhanj District,boipariguda,CE RW I||RWCIRCLE-SUNABEDA,Rural Works Circle Suabeda,New Construction of Head works Distribution System and energization including Power supply work of Gunduria LIP under Bisoi block in Mayurbhanj District,63120416.0,Civil Works - Bridges,,764043,CCERWCSBD-Online-17/2021-22 B,2021_CERWI_73327_4,National Competitive Bid,Works,Nil,Nil,"58,544,185.73",05-Jan-2023,"INR 63,120,415.88",
6094,New Installation and Energisation including power supply work of Chuakankar LIP under Bisoi block in Mayurbhanj District,cuttack,EIC-CIVIL||SERNB-CIRCLE-CUTTACK,O/o S.E.Cuttack RandB Circle,New Construction of Head works Distribution System and energization including Power supply work of Chuakankar LIP under Bisoi block in Mayurbhanj District,51761766.0,Civil Works - Bridges,,753001,S.E.Ctc.(RandB)6/2020-21,2020_EICCL_62043_3,National Competitive Bid,Works,NIL,NIL,"57,973,179.00",07-Mar-2022,"INR 51,761,767",
6125,New Installation and Energisation including power supply work of Boring-I LIP under Thakurmunda block in Mayurbhanj District,keonjhar,CE RW I||RWCIRCLE-KEONJHAR,"O/O S.E., N.E.R.W. Circle, Keonjhar.",New Construction of Head works Distribution System and energisation including Power supply work of Boring-I LIP under Thakurmunda block in Mayurbhanj District,60984000.0,Civil Works - Roads,,758001,Road and Bridge Online NCB No.289,2021_CERWI_66688_8,Open Tender,Works,Nil,Nil,"56,586,941.39",23-Dec-2021,"INR 56,586,941.39",
5094,Installation and Energisation of Jalghera I and Jalghera II TW LIP under Badasahi Block in Mayurbhanj district.,kalahnadi,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR,"O/o CCE, Balangir (R and B) Circle, Balangir",Installation and Energisation of Jalghera I and Jalghera II TW LIP under Badasahi Block in Mayurbhanj district.,65262973.0,Civil Works - Roads,,762110,CCE (R and B) BGR-05-2021-22,2021_EICCL_70888_2,National Competitive Bid,Works,Nil,Nil,"55,480,053.00",10-Jan-2022,"INR 55,480,053",
6271,Repair and Restoration of Nachinda to Kharidchhak road for the year 2022-23,"gadaramal, sagunbhadi, dist. nuapada","CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna",Bhawanipatna,Road Work,65204318.0,Civil Works - Others,,766111,"ADDLCE,WIC-02/2021-22",2021_CEBMT_70944_2,National Competitive Bid,Works,Nil,Nil,"55,430,191.00",17-Mar-2022,"INR 55,430,191",
6039,New Installation and Energisation including power supply work of Barisaghutu LIP under Kusumi block in Mayurbhanj District,jharsuguda,CE RW I||RW-CIRCLE-SUNDARGARH,"Office of the C.C.E, R.W Circle, Sundargarh",New Construction of Head works Distribution System and energization including Power supply work of Barisaghutu LIP under Kusumi block in Mayurbhanj District,59794357.0,Civil Works - Bridges,,768203,RWCCESNG-05 Of 2022-23,2022_CERWI_77162_2,National Competitive Bid,Works,Nil,Nil,"53,820,900.68",26-Jul-2022,"INR 59,794,356.94",
6215,Repair Renovation and Restoration of NH-224 to Sirisira road for the year 2022-23,ganjam,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur",Road work,61069004.0,Civil Works - Others,,761026,"ACE,RBB-10/2022-23",2022_CEBMB_80085_1,National Competitive Bid,Works,Nil,Nil,"51,914,759.94",07-Dec-2022,"INR 51,914,760",
4454,Revival of Bandikar I L.I.Project under Laxmipur Block of Koraput District,sundargarh,OPEPA Bhubaneswar||Samagra Shiksha Sundargarh,DPO SS SNG,Revival of Bandikar I L.I.Project under Laxmipur Block of Koraput District,57252941.0,Civil Works - Buildings,,770001,DPC/SS/SNG/08 OF 2021-22,2021_OPEPA_73872_23,Open Tender,Works,Nil,Nil,"51,069,623.75",25-Apr-2022,"INR 51,069,623.75",
5792,Installation and Energisation of Brahmanaputuka TW LIP under Rasgobindpur Block in Mayurbhanj district.,"brahmagiri, puri","CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar","O/o the Addl. Chief Engineer, Drainage Circle, Bhu",Installation and Energisation of Brahmanaputuka TW LIP under Rasgobindpur Block in Mayurbhanj district.,57713787.0,Civil Works - Others,,751012,ACEDC-BBSR/DD-PURI-06/2022-23,2022_CEDC_78849_1,Open Tender,Works,Nil,Nil,"49,062,490.00",29-Sep-2022,"INR 49,062,490",
6097,New Installation and Energisation including power supply work of Jamudihi LIP under Bisoi block in Mayurbhanj District,angul,CE RW I,"Office of the EIC Rural Works, Odisha",New Construction of Head works Distribution System and energization including Power supply work of Jamudihi LIP under Bisoi block in Mayurbhanj District,54646000.0,Civil Works - Bridges,,751001,Tender Online-7/2018-19( Bridges ),2018_CERWI_51951_8,National Competitive Bid,Works,"E E, RW Division, Angul",Angul,"46,964,306.00",22-Jul-2019,"INR 46,964,306",
6272,Repair and Restoration of K.Kamarda to Khairda road for the year 2022-23,"biripur, kalampur, dist. kalahandi","CE-BM, Tel Basin,Bhawanipatna||SE Western Irr Circle Bhawanipatna",Bhawanipatna,Road Work,54476301.0,Civil Works - Others,,766001,"ADDLCE,WIC-02/2021-22",2021_CEBMT_70944_1,National Competitive Bid,Works,Nil,Nil,"46,310,304.00",17-Mar-2022,"INR 46,310,304",
4538,Installation and Energisation of Sanopokhari I TW LIP under Khunta Block in Mayurbhanj district.,sundargarh,OPEPA Bhubaneswar||Samagra Shiksha Sundargarh,DPO SS SNG,Installation and Energisation of Sanopokhari I TW LIP under Khunta Block in Mayurbhanj district.,51559812.0,Civil Works - Buildings,,770001,DPCSNG/07/SS of 2021-22,2021_OPEPA_73500_32,Open Tender,Works,Nil,Nil,"46,094,472.54",25-Apr-2022,"INR 46,094,472.54",
6213,Repair Renovation and Restoration of PWD road to Wallipur for the year 2022-23,purusottampur,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o Additional CE, RB Basin, Berhampur",Road work,54070782.0,Civil Works - Others,,761018,"ACE,RBB-20/2022-23",2022_CEBMB_81568_3,National Competitive Bid,Works,Nil,Nil,"45,965,571.35",21-Dec-2022,"INR 45,965,571",
6994,Constn. of CC Road from Rajendra prasad Sahu Res to Raisen Marandi House in W.N-27 under Balasore Municipality,soroda,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur",Constn. of CC Road from Rajendra prasad Sahu Res to Raisen Marandi House in W.N-27 under Balasore Municipality,53206273.0,Civil Works - Others,,761108,"ACE,RBB-24/2022-23",2022_CEBMB_82096_2,National Competitive Bid,Works,Nil,Nil,"45,230,652.36",28-Dec-2022,"INR 45,230,652",
6098,New Installation and Energisation including power supply work of Baneikala LIP under Bisoi block in Mayurbhanj District,angul,CE RW I,"Office of the EIC Rural Works, Odisha",New Construction of Head works Distribution System and energization including Power supply work of Baneikala LIP under Bisoi block in Mayurbhanj District,45920000.0,Civil Works - Bridges,,751001,Tender Online-6/2018-19( Bridges ),2018_CERWI_51755_19,National Competitive Bid,Works,"E E, RW Division, Angul",Angul,"44,898,500.00",26-Jul-2019,"INR 44,898,500",
6040,New Installation and Energisation including power supply work of Narendraposi-III LIP under Kusumi block in Mayurbhanj District,jharsuguda,CE RW I||RW-CIRCLE-SUNDARGARH,"Office of the C.C.E, R.W Circle, Sundargarh",New Construction of Head works Distribution System and energization including Power supply work of Narendraposi-III LIP under Kusumi block in Mayurbhanj District,48626925.0,Civil Works - Bridges,,768203,RWCCESNG-05 Of 2022-23,2022_CERWI_77162_1,National Competitive Bid,Works,Nil,Nil,"43,681,566.80",07-Jul-2022,"INR 48,626,925.09",
1783,Installation and Energisation of Kanpur III TW LIP under Rasgobindpur Block in Mayurbhanj District,joranda,Odisha Tourism Devl. Corp.,"O/o The Supt. Engineer, OTDC,Lewis road, Bhubanesh",Installation and Energisation of Kanpur III TW LIP under Rasgobindpur Block in Mayurbhanj District,45630000.0,Civil Works - Others,,759014,BP I/26/2021-22 dt.29.03.2022,2022_OTDC_76704_1,National Competitive Bid,Works,Nil,Nil,"43,459,851.00",30-Jul-2022,"INR 43,459,851",
7026,"Construction of Public Toilet, Rest Room and Godown inside of Neheru Park, Chandbali NAC",sheragada,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur","Construction of Public Toilet, Rest Room and Godown inside of Neheru Park, Chandbali NAC",50145430.0,Civil Works - Others,,761106,"ACE,RBB-36/2022-23",2023_CEBMB_85075_2,National Competitive Bid,Works,Nil,Nil,"42,628,629.67",13-Mar-2023,"INR 42,628,630",
7036,"Supply, installation and Commissioning of 10 nos. 1.5 Ton Split Air-Conditioner Units in Project Section at Bikash Bhawan.",bhanjanagar,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur","Supply, installation and Commissioning of 10 nos. 1.5 Ton Split Air-Conditioner Units in Project Section at Bikash Bhawan.",47107632.0,Civil Works - Others,,761126,"ACE,RBB-24/2022-23",2022_CEBMB_82096_4,National Competitive Bid,Works,Nil,Nil,"42,401,579.23",01-Mar-2023,"INR 42,401,580",
6114,New Installation and Energisation including power supply work of Handifuta LIP under Bisoi block in Mayurbhanj District,brahmagiri,"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar","O/o the Addl. Chief Engineer, Drainage Circle, Bhu",New Construction of Head works Distribution System and energization including Power supply work of Handifuta LIP under Bisoi block in Mayurbhanj District,49863774.0,Civil Works - Others,,751012,ACEDC-BBSR/DD-PURI-09/2022-23,2022_CEDC_80559_1,Open Tender,Works,Nil,Nil,"42,389,195.00",28-Nov-2022,"INR 42,389,195",
5891,Installation and energisation of Narigam VI L.I.Project under Boriguma Block of Koraput District,chhatrapur,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur",Installation and energisation of Narigam VI L.I.Project under Boriguma Block of Koraput District,49554566.0,Civil Works - Others,,761020,"ACE,RBB-08/2022-23",2022_CEBMB_78817_2,National Competitive Bid,Works,Nil,Nil,"42,126,336.81",01-Jan-2023,"INR 42,126,337",
7000,Construction of Road from Ramesh Nath House to Bayani Das House at Sagadia Nath Sahi in W. no.-2,hinjili,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur",Construction of Road from Ramesh Nath House to Bayani Das House at Sagadia Nath Sahi in W. no.-2,48935037.0,Civil Works - Others,,761102,"ACE,RBB-10/2022-23",2022_CEBMB_80085_2,National Competitive Bid,Works,Nil,Nil,"41,599,675.00",15-Dec-2022,"INR 41,599,675",
6998,RR of Road from Kasab Taladi House to Rajendra Das House in Ward No_08 under Balasore Municipality,sheragada,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","O/o the Additional CE, RB Basin, Berhampur",RR of Road from Kasab Taladi House to Rajendra Das House in Ward No_08 under Balasore Municipality,48475464.0,Civil Works - Others,,761106,"ACE,RBB-22/2022-23",2022_CEBMB_81622_1,National Competitive Bid,Works,Nil,Nil,"41,208,991.88",16-Dec-2022,"INR 41,208,992",
